DATE OCC,Crm Cd Desc,AREA NAME,DR NO
11/07/2014,BIKE - STOLEN,Hollenbeck,1
12/15/2014,BIKE - STOLEN,Wilshire,1
09/17/2014,BIKE - STOLEN,Southwest,1
01/14/2014,BIKE - STOLEN,Hollywood,1
09/24/2014,BIKE - STOLEN,Central,1
11/01/2014,BIKE - STOLEN,Central,1
06/07/2014,BIKE - STOLEN,Rampart,1
12/21/2014,BIKE - STOLEN,Northeast,1
05/11/2014,BIKE - STOLEN,Central,1
10/05/2014,BIKE - STOLEN,Wilshire,1
10/10/2014,BIKE - STOLEN,Wilshire,1
01/11/2014,BIKE - STOLEN,Olympic,1
08/04/2014,BIKE - STOLEN,Central,1
09/18/2014,BIKE - STOLEN,Wilshire,1
04/23/2014,BIKE - STOLEN,Central,1
08/05/2014,BIKE - STOLEN,Wilshire,2
11/18/2014,BIKE - STOLEN,Harbor,1
05/22/2014,BIKE - STOLEN,Central,1
09/26/2014,BIKE - STOLEN,Devonshire,1
09/24/2014,BIKE - STOLEN,Southwest,1
08/30/2014,BIKE - STOLEN,Hollenbeck,1
08/16/2014,BIKE - STOLEN,Central,1
05/24/2014,BIKE - STOLEN,Wilshire,1
12/06/2014,BIKE - STOLEN,Hollywood,1
09/01/2014,BIKE - STOLEN,Southwest,1
12/17/2014,BIKE - STOLEN,West Valley,1
10/18/2014,BIKE - STOLEN,Northeast,1
09/09/2014,BIKE - STOLEN,Wilshire,1
03/12/2014,BIKE - STOLEN,Central,1
03/31/2014,BIKE - STOLEN,Hollywood,2
04/27/2014,BIKE - STOLEN,Central,2
02/13/2014,BIKE - STOLEN,Northeast,1
03/24/2014,BIKE - STOLEN,Rampart,1
11/30/2014,BIKE - STOLEN,Harbor,1
06/07/2014,BIKE - STOLEN,Hollenbeck,1
12/18/2014,BIKE - STOLEN,Hollywood,1
04/16/2014,BIKE - STOLEN,Central,3
01/28/2014,BIKE - STOLEN,77th Street,1
05/10/2014,BIKE - STOLEN,Olympic,1
08/14/2014,BIKE - STOLEN,Rampart,1
03/01/2014,BIKE - STOLEN,Northeast,1
09/29/2014,BIKE - STOLEN,Hollenbeck,1
08/14/2014,BIKE - STOLEN,Devonshire,1
07/12/2014,BIKE - STOLEN,Harbor,1
01/16/2014,BIKE - STOLEN,Devonshire,1
04/06/2014,BIKE - STOLEN,Hollywood,1
03/16/2014,BIKE - STOLEN,Wilshire,1
06/09/2014,BIKE - STOLEN,Rampart,1
09/01/2014,BIKE - STOLEN,Central,1
04/21/2014,BIKE - STOLEN,Wilshire,1
03/31/2014,BIKE - STOLEN,Northeast,1
09/11/2014,BIKE - STOLEN,Hollywood,1
11/21/2014,BIKE - STOLEN,West Valley,1
03/22/2010,BIKE - STOLEN,Northeast,1
12/22/2014,BIKE - STOLEN,Olympic,1
06/29/2014,BIKE - STOLEN,Southwest,1
10/04/2014,BIKE - STOLEN,Olympic,1
01/11/2014,BIKE - STOLEN,Northeast,1
06/13/2014,BIKE - STOLEN,Rampart,1
09/11/2014,BIKE - STOLEN,Newton,1
02/22/2014,BIKE - STOLEN,Wilshire,1
07/26/2014,BIKE - STOLEN,Rampart,1
10/14/2014,BIKE - STOLEN,Central,1
03/05/2014,BIKE - STOLEN,Central,3
01/02/2014,BIKE - STOLEN,Central,1
07/15/2014,BIKE - STOLEN,West LA,1
06/30/2014,BIKE - STOLEN,Wilshire,2
04/24/2014,BIKE - STOLEN,Central,1
12/26/2014,BIKE - STOLEN,Central,3
10/25/2014,BIKE - STOLEN,Northeast,1
02/13/2014,BIKE - STOLEN,77th Street,1
11/13/2014,BIKE - STOLEN,Central,1
05/26/2014,BIKE - STOLEN,Hollywood,1
05/07/2014,BIKE - STOLEN,Hollywood,1
12/23/2014,BIKE - STOLEN,N Hollywood,1
08/04/2014,BIKE - STOLEN,West Valley,1
04/28/2014,BIKE - STOLEN,Central,3
01/24/2014,BIKE - STOLEN,Central,2
06/22/2014,BIKE - STOLEN,Rampart,1
01/27/2014,BIKE - STOLEN,Central,1
10/02/2014,BIKE - STOLEN,Southwest,1
05/21/2014,BIKE - STOLEN,Rampart,3
07/11/2014,BIKE - STOLEN,West Valley,1
11/04/2014,BIKE - STOLEN,Devonshire,1
09/25/2014,BIKE - STOLEN,Central,1
12/09/2014,BIKE - STOLEN,Harbor,1
05/16/2014,BIKE - STOLEN,Central,1
10/27/2014,BIKE - STOLEN,N Hollywood,1
11/08/2014,BIKE - STOLEN,Northeast,2
12/11/2014,BIKE - STOLEN,N Hollywood,1
08/09/2014,BIKE - STOLEN,Devonshire,1
10/01/2014,BIKE - STOLEN,West Valley,1
05/07/2014,BIKE - STOLEN,Newton,1
12/22/2014,BIKE - STOLEN,Hollywood,2
07/25/2014,BIKE - STOLEN,Central,1
06/01/2014,BIKE - STOLEN,Hollenbeck,1
07/15/2014,BIKE - STOLEN,Central,1
12/24/2014,BIKE - STOLEN,West Valley,1
01/26/2014,BIKE - STOLEN,Northeast,1
06/26/2014,BIKE - STOLEN,Rampart,1
08/14/2014,BIKE - STOLEN,Wilshire,2
01/26/2014,BIKE - STOLEN,N Hollywood,1
05/28/2014,BIKE - STOLEN,Northeast,1
03/26/2014,BIKE - STOLEN,Central,2
09/27/2014,BIKE - STOLEN,Northeast,3
09/08/2014,BIKE - STOLEN,Northeast,1
08/18/2014,BIKE - STOLEN,Central,1
11/10/2014,BIKE - STOLEN,Harbor,1
06/25/2014,BIKE - STOLEN,Olympic,1
06/29/2014,BIKE - STOLEN,West LA,1
07/06/2014,BIKE - STOLEN,Mission,1
11/17/2014,BIKE - STOLEN,Central,2
08/18/2014,BIKE - STOLEN,Southwest,1
02/02/2014,BIKE - STOLEN,Devonshire,1
06/24/2014,BIKE - STOLEN,Northeast,4
04/09/2014,BIKE - STOLEN,Northeast,2
05/31/2014,BIKE - STOLEN,Rampart,1
10/10/2014,BIKE - STOLEN,Hollenbeck,1
05/19/2014,BIKE - STOLEN,Olympic,1
02/15/2014,BIKE - STOLEN,Northeast,1
05/02/2014,BIKE - STOLEN,Central,1
11/27/2013,BIKE - STOLEN,Rampart,1
04/10/2014,BIKE - STOLEN,Southwest,2
07/27/2014,BIKE - STOLEN,Wilshire,2
12/02/2014,BIKE - STOLEN,Central,1
07/22/2014,BIKE - STOLEN,Central,1
06/23/2014,BIKE - STOLEN,Southwest,1
08/10/2014,BIKE - STOLEN,Olympic,1
11/06/2014,BIKE - STOLEN,Harbor,1
11/15/2014,BIKE - STOLEN,Northeast,1
06/19/2014,BIKE - STOLEN,Hollywood,2
07/21/2014,BIKE - STOLEN,Devonshire,1
01/25/2014,BIKE - STOLEN,Central,1
